country,designation,points,price,province,region_1,region_2,variety,winery
Italy,Quarz,92.0,60.0,Northeastern Italy,Alto Adige,,Sauvignon,Cantina Terlano
France,,92.0,,Southwest France,Cahors,,Malbec,Château du Cèdre
France,Réserve,92.0,30.0,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Haut Selve
US,Lampyridae Vineyards,92.0,100.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Communication Block
US,Le Mistral Vineyard,92.0,35.0,California,Monterey County,Central Coast,Syrah,Baker & Brain
France,Les Charmes Dessus,91.0,60.0,Burgundy,Santenay,,Chardonnay,Domaine de Bellene
France,Cuvée Germain,91.0,16.0,Southwest France,Côtes du Tarn,,Bordeaux-style Red Blend,Domaine D'en Ségur
France,Quintessence,91.0,40.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Domaine Sangouard-Guyot
US,Clay Court,91.0,60.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Elk Cove
France,,91.0,100.0,Burgundy,Clos de Vougeot,,Pinot Noir,Evening Land
Portugal,,91.0,18.0,Alentejano,,,Touriga Nacional,Herdade de São Miguel
US,,91.0,16.0,Oregon,Oregon,Oregon Other,Pinot Gris,Iris Vineyards
US,Kruse Vineyards,91.0,42.0,California,Paso Robles,Central Coast,Syrah,Jack Creek
France,Cami Salié,91.0,,Southwest France,Jurançon Sec,,Gros and Petit Manseng,Lionel Osmin & Cie
US,Rosé of,91.0,20.0,California,Napa Valley,Napa,Pinot Noir,Brick & Mortar
Italy,Prail,91.0,25.0,Northeastern Italy,Alto Adige,,Sauvignon,Colterenzio
Italy,Puiten,91.0,23.0,Northeastern Italy,Alto Adige,,Pinot Grigio,Colterenzio
US,Estate Grown,91.0,38.0,California,Carneros,Napa-Sonoma,Pinot Noir,Cuvaison
US,Nova Vineyard,91.0,32.0,California,Clear Lake,Mendocino/Lake Counties,Zinfandel,De Loach
US,The Funk Estate,94.0,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
US,Estate Bottled,94.0,30.0,California,Napa Valley,Napa,Riesling,Smith-Madrone
Italy,Vigneto Monte Sant'Urbano,94.0,85.0,Veneto,Amarone della Valpolicella Classico,,Red Blend,Speri
US,White,94.0,30.0,California,Napa Valley,Napa,Riesling,Stony Hill
US,Sierra Madre Vineyard,94.0,65.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Testarossa
New Zealand,Maté's Vineyard,94.0,57.0,Kumeu,,,Chardonnay,Kumeu River
US,Bergström Vineyard,94.0,90.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Bergström
US,Angel Hawk,94.0,85.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Black Kite
US,King Ridge Vineyard Hirsch Selection,94.0,70.0,California,Fort Ross-Seaview,Sonoma,Pinot Noir,Blue Farm
US,Evenstad Reserve,94.0,70.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Domaine Serene
US,Bacigalupi Vineyard,94.0,60.0,California,Russian River Valley,Sonoma,Pinot Noir,Gary Farrell
Italy,Contrada Salvarenza Vecchie Vigne,94.0,38.0,Veneto,Soave Classico,,Garganega,Gini
Italy,La Froscà,94.0,29.0,Veneto,Soave Classico,,Garganega,Gini
US,Outer Limits,94.0,155.0,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
US,Durant Vineyard Bishop Block,94.0,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,Godspeed,94.0,95.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Sbragia
US,Tognetti Vineyard Brut,94.0,80.0,California,Carneros,Napa-Sonoma,Sparkling Blend,Schramsberg
US,Ribbon Ridge Estate,94.0,49.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Trisaetum
France,Château Montus,94.0,35.0,Southwest France,Madiran,,Tannat-Cabernet,Vignobles Brumont
US,Old Stones,94.0,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Waters
France,La Bégude,94.0,44.0,Provence,Bandol,,Provence red blend,Domaine de la Bégude
Spain,QP,94.0,68.0,Northern Spain,Rioja,,Tempranillo Blend,Bodega Classica
France,,94.0,20.0,Provence,Coteaux d'Aix-en-Provence,,Rosé,Château Vignelaure
Spain,Prestigio Pago de las Solanas,94.0,,Northern Spain,Ribera del Duero,,Red Blend,Matarromera
US,Pellet Vineyard,94.0,95.0,California,Napa Valley,Napa,Cabernet Sauvignon,Pellet Estate
France,La Bégude,94.0,44.0,Provence,Bandol,,Provence red blend,Domaine de la Bégude
Argentina,Alta Barrancas Vineyards,94.0,50.0,Mendoza Province,Mendoza,,Cabernet Sauvignon,Pascual Toso
France,Garrus,94.0,100.0,Provence,Côtes de Provence,,Rosé,Château d'Esclans
France,Cuvée Marguerite Massaut,94.0,70.0,Southwest France,Cahors,,Malbec,Château Lagrézette
US,Aurora Vineyard,94.0,63.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Ponzi
Italy,Monvigliero,91.0,75.0,Piedmont,Barolo,,Nebbiolo,Fratelli Alessandria
Germany,Graacher Himmelreich Kabinett,91.0,23.0,Mosel,,,Riesling,Friedrich-Wilhelm-Gymnasium
US,Latro,91.0,50.0,California,Knights Valley,Sonoma,Cabernet Sauvignon,Galerie
Spain,Etiqueta Ambar,91.0,22.0,Galicia,Rías Baixas,,Albariño,Granbazán
US,Grieve Family Vineyard,91.0,45.0,California,Napa Valley,Napa,Sauvignon Blanc,Grieve
Portugal,Grande Rocim Reserva,91.0,130.0,Alentejano,,,Alicante Bouschet,Herdade do Rocim
US,XCV,91.0,38.0,California,Paso Robles Willow Creek District,Central Coast,Rhône-style White Blend,Jada Vineyard & Winery
US,,91.0,30.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,La Crema
US,Rosé of,91.0,22.0,California,Knights Valley,Sonoma,Syrah,Lawer
Italy,Bergera Pezzole,91.0,,Piedmont,Barolo,,Nebbiolo,Le Strette
Italy,Coste di Rose,91.0,90.0,Piedmont,Barolo,,Nebbiolo,Marchesi di Barolo
US,Emblem Oso Vineyard,91.0,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
Italy,Brunate,91.0,115.0,Piedmont,Barolo,,Nebbiolo,Oddero
Portugal,Telhas,91.0,30.0,Alentejano,,,Rhône-style Red Blend,Terras de Alter
Portugal,Terra d'Alter,91.0,14.0,Alentejano,,,Aragonês,Terras de Alter
US,Lone Oak Vineyard,91.0,48.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Testarossa
US,Starr Ridge Vineyard Estate,91.0,40.0,California,Russian River Valley,Sonoma,Chardonnay,Thomas George
Germany,Saulheimer Probstey Trocken,91.0,39.0,Rheinhessen,,,Silvaner,Thörle
Italy,Paesi Tuoi,91.0,60.0,Piedmont,Barolo,,Nebbiolo,Vite Colte
US,Sierra Madre Vineyard,91.0,50.0,California,Santa Maria Valley,Central Coast,Chardonnay,Wedell Cellars
US,Juliard Vineyard,91.0,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
France,Grand Cru Blanc de Blancs Chouilly Brut,91.0,54.0,Champagne,Champagne,,Chardonnay,A.R. Lenoble 
Portugal,Garrafeira,91.0,42.0,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
US,Brut Rosé,91.0,50.0,Oregon,Willamette Valley,Willamette Valley,Sparkling Blend,Argyle
Israel,,91.0,40.0,Golan Heights,,,Cabernet Sauvignon,Bazelet HaGolan
US,Rosella's Vineyard,91.0,40.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Bernardus
US,,91.0,42.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Big Table Farm
Italy,Parej,91.0,85.0,Piedmont,Barolo,,Nebbiolo,Icardi
Spain,Crianza,91.0,32.0,Northern Spain,Ribera del Duero,,Tempranillo,Matarromera
US,Cuore della Vigne,90.0,41.0,California,Paso Robles,Central Coast,Red Blend,Le Vigne
US,Kiler Grove Vineyard,90.0,27.0,California,Paso Robles Willow Creek District,Central Coast,Ugni Blanc,Paix Sur Terre
US,Winemaker's Reserve,90.0,29.0,Oregon,Umpqua Valley,Southern Oregon,Grüner Veltliner,Reustle
France,Galets Oligocène,90.0,33.0,Alsace,Alsace,,Pinot Noir,Domaine Bott-Geyl
France,,90.0,70.0,Burgundy,Gevrey-Chambertin,,Pinot Noir,Domaine Faiveley
US,,90.0,19.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Pike Road
Italy,,90.0,22.0,Sicily & Sardinia,Vittoria,,Frappato,Planeta
Germany,Dry,90.0,25.0,Württemberg,,,Lemberger,Schnaitmann
France,Vieilles Vignes,90.0,27.0,Alsace,Alsace,,Sylvaner,Domaine Ostertag
France,Vieilles Vignes,90.0,22.0,Alsace,Alsace,,Chasselas,Domaine Schoffit
France,Zind,90.0,30.0,Alsace,Alsace,,Alsace white blend,Domaine Zind-Humbrecht
US,,90.0,15.0,Oregon,Oregon,Oregon Other,Pinot Gris,Firesteed
US,Sisters Estate,90.0,45.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,The Eyrie Vineyards
France,Domaine du Pavillon Clos des Ursulines,90.0,80.0,Burgundy,Pommard,,Pinot Noir,Albert Bichot
Italy,Adenzia,90.0,,Sicily & Sardinia,Sicilia,,White Blend,Baglio del Cristo di Campobello
Italy,SP68 Bianco,90.0,,Sicily & Sardinia,Terre Siciliane,,White Blend,Occhipinti
US,,90.0,18.0,Oregon,Oregon,Oregon Other,Albariño,J. Scott Cellars
Italy,,90.0,19.0,Southern Italy,Greco di Tufo,,Greco,Villa Raiano
Germany,Bernkasteler Badstube Kabinett,90.0,31.0,Mosel,,,Riesling,Dr. H. Thanisch (Erben Thanisch)
US,,90.0,15.0,California,California,California Other,Cabernet Sauvignon,Hahn
US,,90.0,15.0,California,North Coast,North Coast,Cabernet Sauvignon,Lyeth
US,Classic Collection,90.0,24.0,California,Napa Valley,Napa,Merlot,Napa Cellars
US,Rector Creek Vineyard,90.0,80.0,California,Napa Valley,Napa,Red Blend,Paraduxx
Spain,Reserva,90.0,35.0,Northern Spain,Ribera del Duero,,Tempranillo,Quintana de Cue
Germany,Trocken,90.0,40.0,Ahr,,,Früburgunder,Winzergenossenschaft Mayschoss-Altenahr
Spain,Orquestal,90.0,28.0,Central Spain,La Mancha,,Tempranillo,Casa del Valle
US,,90.0,50.0,California,Napa Valley,Napa,Cabernet Sauvignon,Freemark Abbey
US,Olson Vineyard,90.0,28.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Joleté
US,The Truant,90.0,36.0,California,California,California Other,Rhône-style Red Blend,Prospect 772
US,,90.0,40.0,California,Red Hills Lake County,Mendocino/Lake Counties,Cabernet Sauvignon,Boatique
US,Proprietor's Reserve,90.0,50.0,California,Central Coast,Central Coast,Chardonnay,Hearst Ranch
US,Cabovation Destiny Vineyards Mt. Christo Block Reserve,90.0,75.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Hunt Cellars
Italy,,90.0,60.0,Tuscany,Brunello di Montalcino,,Sangiovese,La Fiorita
US,Seven Hills Vineyard,90.0,46.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Merry Cellars
Canada,Compendium,90.0,70.0,British Columbia,Okanagan Valley,,Bordeaux-style Red Blend,Mission Hill
Spain,Albariño de Fefiñanes,90.0,26.0,Galicia,Rías Baixas,,Albariño,Palacio de Fefiñanes
France,Terre de Maimbray,90.0,,Loire Valley,Sancerre,,Pinot Noir,Pascal & Nicolas Reverdy
Italy,Villa al Cortile Riserva,90.0,60.0,Tuscany,Brunello di Montalcino,,Sangiovese,Piccini
Italy,Riserva,90.0,75.0,Tuscany,Brunello di Montalcino,,Sangiovese,Pietranera
Moldova,Alb de Purcari,90.0,32.0,Moldova,,,White Blend,Purcari
Italy,Riserva,90.0,95.0,Tuscany,Brunello di Montalcino,,Sangiovese,Renieri
Italy,,90.0,60.0,Tuscany,Brunello di Montalcino,,Sangiovese,Podere Scopetone
Italy,,90.0,70.0,Tuscany,Brunello di Montalcino,,Sangiovese,Sesta di Sopra
US,Trois Fleurs,90.0,20.0,California,Santa Ynez Valley,Central Coast,White Blend,Carlson
France,Cuvée Setier,90.0,27.0,Rhône Valley,Côtes du Rhône Villages,,Rhône-style Red Blend,Château Pégau
France,Cuvée de Nalys,90.0,20.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style Red Blend,Kirkland Signature
US,Kate's + B's,90.0,75.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Medlock Ames
US,New Generation,90.0,28.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Passaggio
US,,90.0,60.0,California,Napa Valley,Napa,Chardonnay,Patland
US,Signpost,90.0,22.0,California,Sonoma Coast,Sonoma,Chardonnay,Trig Point
Spain,Mirlo Blanco,90.0,49.0,Spain Other,Spain,,White Blend,Valquejigoso
Hungary,Steiner,90.0,35.0,Sopron,,,Kekfrankos,Weninger
Italy,,90.0,90.0,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta di Sesta
US,,90.0,30.0,California,Russian River Valley,Sonoma,Chardonnay,Terlato
US,,90.0,35.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Calling
US,Elevation Annadel Gap Vineyard Estate,90.0,38.0,California,Sonoma Valley,Sonoma,Rhône-style Red Blend,Westwood
US,,90.0,22.0,California,Lodi,Central Valley,Tempranillo,Fenestra
Italy,Berardo Riserva,90.0,30.0,Tuscany,Chianti Classico,,Sangiovese,Castello di Bossi
Italy,,90.0,32.0,Tuscany,Vino Nobile di Montepulciano,,Red Blend,Cecchi
Italy,Riserva,90.0,35.0,Tuscany,Chianti Classico,,Sangiovese,Cafaggio
US,,87.0,36.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Dussek Family Cellars
US,Rapscallion,87.0,30.0,California,Paso Robles,Central Coast,Zinfandel,League of Rogues
US,,87.0,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Serenity
US,Weinbau,87.0,32.0,Washington,Wahluke Slope,Columbia Valley,Grenache,Sol Stone
Spain,Yá Cuvée 23 Brut Rosé,87.0,18.0,Catalonia,Cava,,Sparkling Blend,Sumarroca
Spain,Crianza,87.0,27.0,Northern Spain,Ribera del Duero,,Tempranillo,Trus
US,,87.0,20.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Va Piano
France,Cuvée Lucie,87.0,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Les Hauts de Tousquiron
US,Chandler Vineyard,87.0,30.0,California,Livermore Valley,Central Coast,Chardonnay,McGrail
US,Freakshow,87.0,20.0,California,Lodi,Central Valley,Cabernet Sauvignon,Michael David
US,Reserve,87.0,23.0,Idaho,,,Cabernet Sauvignon,3 Horse Ranch Vineyards
US,Southern,87.0,22.0,Washington,Yakima Valley,Columbia Valley,Rhône-style White Blend,Cairdeas
Italy,Vigna Poggio Ronconi,87.0,75.0,Tuscany,Brunello di Montalcino,,Sangiovese,Citille di Sopra
Italy,Filo di Seta,87.0,98.0,Tuscany,Brunello di Montalcino,,Sangiovese,Castello Romitorio
France,,87.0,,Bordeaux,Graves,,Bordeaux-style White Blend,Château de Portets
US,,87.0,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Villa San Juliette
US,Unoaked,87.0,22.0,Idaho,,,Chardonnay,Hat Ranch
US,Chicken Dinner,87.0,16.0,Idaho,,,White Blend,Huston
Italy,Pagliatura,87.0,28.0,Tuscany,Maremma Toscana,,Vermentino,Fattoria di Magliano
Spain,Buleria Fino,87.0,25.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
Italy,Scirè,87.0,17.0,Tuscany,Bolgheri,,Red Blend,Ceralti
US,Dry,87.0,17.0,Idaho,,,Riesling,Coiled
Spain,Crianza,87.0,15.0,Northern Spain,Ribera del Duero,,Tempranillo,Condado de Oriza
Spain,Premium,87.0,16.0,Andalucia,Manzanilla-Sanlúcar de Barrameda,,Sherry,Delgado Zuleta
Spain,Roble 4 Meses en Barrica,87.0,15.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Señorío de Sotillo
Spain,Brunus,87.0,28.0,Catalonia,Montsant,,Red Blend,Portal del Montsant
Italy,Riserva,87.0,52.0,Tuscany,Brunello di Montalcino,,Sangiovese,La Collina dei Lecci
Italy,Vigna Manapetra Riserva,87.0,58.0,Tuscany,Brunello di Montalcino,,Sangiovese,Fattoria La Lecciaia
Italy,,87.0,60.0,Tuscany,Brunello di Montalcino,,Sangiovese,Ferrero
Portugal,Superior,86.0,15.0,Douro,,,Rosé,Colinas do Douro
Italy,Senza Solfiti Aggiunti,86.0,15.0,Veneto,Soave,,White Blend,Latium di Morini
US,Cannon Block,86.0,26.0,California,Knights Valley,Sonoma,Chardonnay,Lawer
US,,86.0,32.0,California,South Coast,South Coast,Syrah,Hawk Watch Winery
Portugal,Conde Vimioso Colheita Seleccionada,86.0,10.0,Tejo,,,Portuguese Red,Falua
Argentina,Alma Mora,86.0,10.0,Other,San Juan,,Sauvignon Blanc,Finca Las Moras
US,,86.0,18.0,California,California,California Other,Moscato,The Naked Grape
Portugal,Duas Quintas Branco,86.0,12.0,Douro,,,Portuguese White,Ramos-Pinto
US,Estate Grown Cabernet,86.0,35.0,Washington,Red Mountain,Columbia Valley,Rosé,Obelisco Estate
US,,86.0,34.0,California,Dry Creek Valley,Sonoma,Aglianico,Orsi Family Vineyards
Argentina,,86.0,23.0,Mendoza Province,Mendoza,,Malbec,Bota Box
South Africa,,86.0,20.0,Walker Bay,,,Sauvignon Blanc,Bouchard Finlayson
US,Porter and Plot,86.0,31.0,California,Napa Valley,Napa,Cabernet Sauvignon,Winc
US,,86.0,24.0,California,Paso Robles,Central Coast,Viognier,Cass
US,,86.0,12.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Castle Rock
US,Reserve,86.0,18.0,California,Mendocino County,Mendocino/Lake Counties,Pinot Noir,Angeline
France,,86.0,10.0,Southwest France,Côtes de Gascogne,,White Blend,Domaine de Lamothe
Argentina,,86.0,15.0,Mendoza Province,Mendoza,,Malbec,Don Miguel Gascón
US,Estate Vineyard,86.0,24.0,California,Paso Robles,Central Coast,Chardonnay,Eberle
Argentina,,86.0,14.0,Mendoza Province,Mendoza,,Torrontés,Finca la Malena
US,,86.0,14.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Firestone
Portugal,Portal da Vinha,86.0,15.0,Alentejano,,,Portuguese Red,Companhia das Quintas
US,Osborn Ranch,86.0,38.0,California,Alexander Valley,Sonoma,Primitivo,DeLorimier
Portugal,Cabriz,86.0,13.0,Dão,,,Touriga Nacional,Global Wines
US,,86.0,12.0,California,California,California Other,Pinot Noir,Guenoc
US,The Deep Six,86.0,32.0,California,South Coast,South Coast,Red Blend,Hawk Watch Winery
France,,86.0,15.0,Southwest France,Bergerac Sec,,Semillon-Sauvignon Blanc,Lionel Osmin & Cie
US,,86.0,28.0,California,Dry Creek Valley,Sonoma,Barbera,Orsi Family Vineyards
Portugal,Oculto,86.0,,Tejo,,,Portuguese Red,Quinta do Arrobe
Portugal,,86.0,30.0,Douro,,,Portuguese Rosé,Quinta Nova de Nossa Senhora do Carmo
US,Charles Vineyard Clone O5,89.0,49.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Foursight
Greece,,89.0,17.0,Nemea,,,Agiorgitiko,Boutari
France,Bastide de Beauvert,89.0,11.0,Rhône Valley,Côtes du Rhône,,Grenache-Syrah,Les Vignobles Foncalieu
Italy,Montesodi,89.0,43.0,Tuscany,Toscana,,Sangiovese,Marchesi de' Frescobaldi
France,Les Gravels,89.0,19.0,Southwest France,Gaillac,,Red Blend,Domaine Rotier
France,Les Gravels,89.0,28.0,Southwest France,Gaillac,,White Blend,Domaine Rotier
Germany,Wehlener Sonnenuhr Kabinett,89.0,26.0,Mosel,,,Riesling,Dr. Pauly Bergweiler
Italy,Cuvée du Prince Metodo Classico,89.0,,Italy Other,Vino Spumante,,Prié Blanc,Cave du Vin Blanc de Morgex et de la Salle
US,,89.0,35.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Aubichon Cellars
US,Cheval Rouge Reserve,89.0,30.0,California,Carmel Valley,Central Coast,Bordeaux-style Red Blend,Boëté
Italy,Coniale,89.0,55.0,Tuscany,Toscana,,Cabernet Sauvignon,Castellare di Castellina
France,La Guillotte,89.0,,Southwest France,Fronton,,Negrette,Château Bouissel
US,Nicholas Estate Reserve,89.0,46.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara
US,,89.0,50.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Carden
US,Fourplay,89.0,43.0,California,Santa Ynez Valley,Central Coast,Red Blend,Carhartt Vineyard
Portugal,,89.0,45.0,Duriense,,,Syrah,Quinta da Romaneira
US,Thompson Vineyard,89.0,39.0,California,Santa Barbara County,Central Coast,Syrah,Rideau
Italy,Daniello,89.0,30.0,Tuscany,Toscana,,Red Blend,Tenuta di Trecciano
Italy,Il Tarabuso,89.0,45.0,Tuscany,Toscana,,Cabernet Sauvignon,Terre del Marchesato
Spain,,89.0,23.0,Catalonia,Priorat,,Red Blend,Vega Escal
France,Belleruche,89.0,15.0,Rhône Valley,Côtes du Rhône,,Grenache-Syrah,M. Chapoutier
US,Paderewski Vineyard,89.0,65.0,California,Paso Robles,Central Coast,Zinfandel,Epoch Estate Wines
Chile,Fina Reserva Ensamblaje Cabernet Sauvignon-Malbec-Syrah,89.0,19.0,Colchagua Valley,,,Red Blend,Estampa
US,,89.0,35.0,Oregon,Rogue Valley,Southern Oregon,Syrah,Ledger David
US,Martinelli,89.0,60.0,California,Paso Robles,Central Coast,Zinfandel,Lone Madrone
US,Momtazi Vineyard,89.0,44.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Kelley Fox
Spain,Val do Salnés,89.0,25.0,Galicia,Rías Baixas,,Albariño,Mar de Frades
Italy,Carmione,89.0,30.0,Tuscany,Toscana,,Red Blend,Pratesi
Spain,,89.0,12.0,Northern Spain,Ribera del Duero,,Tempranillo,Maitea
Spain,Brut,89.0,18.0,Catalonia,Cava,,Sparkling Blend,Castellroig
US,Dutton Ranch Mill Station Vineyard,92.0,30.0,California,Green Valley,Sonoma,Chardonnay,Martin Ray
France,Brandluft Vieilles Vignes,92.0,,Alsace,Alsace,,Riesling,Boeckel
Portugal,Vinhas Velhas Grande Reserva,92.0,23.0,Douro,,,Portuguese Red,Castello d'Alba
US,Black Chicken,92.0,45.0,California,Napa Valley,Napa,Zinfandel,Robert Biale
US,Cambium,92.0,125.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Sequoia Grove
US,,92.0,98.0,California,Atlas Peak,Napa,Cabernet Sauvignon,VinRoc
US,Fergalicious,92.0,40.0,California,Santa Ynez Valley,Central Coast,Red Blend,Ferguson Crest
Canada,Cave Spring Vineyard Estate Bottled VQA,92.0,17.0,Ontario,Beamsville Bench,,Riesling,Cave Spring
US,Loner W11-B,92.0,60.0,California,Santa Maria Valley,Central Coast,Chardonnay,Sanguis
Portugal,,92.0,70.0,Douro,,,Portuguese Red,Quinta da Romaneira
US,Hyde Vineyard,92.0,68.0,California,Carneros,Napa-Sonoma,Chardonnay,Ram's Gate
Portugal,Vinha Pan,92.0,40.0,Beiras,,,Baga,Luis Pato
US,White Hawk Vineyard,92.0,45.0,California,Santa Barbara County,Central Coast,Syrah,Vie Winery
US,Celilo Vineyard,92.0,66.0,Washington,Columbia Gorge (WA),Washington Other,Chardonnay,Woodward Canyon
France,Bruderbach Clos des Frères,92.0,29.0,Alsace,Alsace,,Riesling,Domaine Loew
France,Jubiléé,92.0,63.0,Alsace,Alsace,,Riesling,Hugel
US,Melville Vineyard,92.0,32.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Lafond
US,Quail Hill Vineyard,92.0,55.0,California,Russian River Valley,Sonoma,Chardonnay,Lynmar
Hungary,,92.0,16.0,Tokaji,,,Furmint,Royal Tokaji
Italy,Canova,92.0,45.0,Piedmont,Barbaresco,,Nebbiolo,Ressia
US,Kristen's Cuvee,92.0,20.0,California,California,California Other,Viognier,Rock Wall
Italy,Sottocastello di Novello Riserva,92.0,50.0,Piedmont,Barolo,,Nebbiolo,Piazzo Armando
France,,92.0,18.0,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Marsau
Portugal,Vale de Mata,92.0,23.0,Lisboa,,,Portuguese Red,Herdade do Rocim
France,Mandelberg Grand Cru,92.0,,Alsace,Alsace,,Riesling,Jean Becker
US,Nielson Vineyard,92.0,32.0,California,Santa Maria Valley,Central Coast,Chardonnay,Byron
Chile,Edición Limitada B,92.0,30.0,Colchagua Valley,,,Bordeaux-style Red Blend,Caliterra
US,Collaboration Series,92.0,35.0,Washington,Red Mountain,Columbia Valley,Viognier,Force Majeure
US,Fort Ross Vineyard,92.0,44.0,California,Fort Ross-Seaview,Sonoma,Chardonnay,Fort Ross
US,Monarch Mine Vineyards,90.0,24.0,California,Sierra Foothills,Sierra Foothills,Cabernet Franc,Easton
US,,90.0,20.0,California,Amador County,Sierra Foothills,Zinfandel,Easton
Germany,Feinherb,90.0,22.0,Mosel,,,Riesling,Kirsten
France,Les Marconnets Premier Cru,90.0,50.0,Burgundy,Beaune,,Pinot Noir,Labouré-Roi
France,,90.0,45.0,Burgundy,Morey-Saint-Denis,,Pinot Noir,Labouré-Roi
US,Estate Vineyards,90.0,23.0,California,Central Coast,Central Coast,Pinot Noir,MacMurray Ranch
US,Sundawg Ridge Vineyard,90.0,49.0,California,Green Valley,Sonoma,Pinot Noir,MacPhail
Germany,Richter Estate,90.0,17.0,Mosel,,,Riesling,Max Ferd. Richter
US,,90.0,35.0,California,Lodi,Central Valley,Carignane,McCay Cellars
Italy,Laluci,90.0,,Sicily & Sardinia,Sicilia,,White Blend,Baglio del Cristo di Campobello
France,Bastion Premier Cru,90.0,59.0,Burgundy,Beaune,,Chardonnay,Chanson Père et Fils
France,Rosenberg,90.0,24.0,Alsace,Alsace,,Sylvaner,Domaine Barmès-Buecher
France,Clos de Jeu,90.0,,Burgundy,Marsannay,,Pinot Noir,Domaine Collotte
France,L'Aplomb,90.0,20.0,Alsace,Alsace,,White Blend,Domaine Rieflé-Landmann
France,Réserve,90.0,20.0,Alsace,Alsace,,Pinot Blanc,Domaine Weinbach
US,,90.0,18.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Elizabeth Chambers
Italy,Siccagno,90.0,,Sicily & Sardinia,Terre Siciliane,,Nero d'Avola,Occhipinti
US,Montecillo Vineyard,90.0,42.0,California,Sonoma Valley,Sonoma,Zinfandel,Ordaz Family Wines
Italy,Bianco Dry,90.0,22.0,Sicily & Sardinia,Noto,,Moscato,Planeta
Greece,,90.0,20.0,Santorini,,,Assyrtiko,Santo Wines
US,Guadalupe Vineyard,90.0,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Soléna
US,,90.0,30.0,California,Napa Valley,Napa,Chardonnay,Stags' Leap Winery
Italy,Belsito,90.0,,Sicily & Sardinia,Vittoria,,Frappato,Terre di Giurfo
US,,90.0,40.0,California,Red Hills Lake County,Mendocino/Lake Counties,Cabernet Sauvignon,Boatique
Spain,Fincas de la Villa Reserva,90.0,20.0,Northern Spain,Rioja,,Tempranillo,Bodegas Muriel
Spain,Crianza,90.0,17.0,Northern Spain,Rioja,,Tempranillo Blend,Burgo Viejo
US,Made with Organically Grown Grapes,90.0,22.0,California,Sierra Foothills,Sierra Foothills,Merlot,Chacewater
Germany,Bernkasteler Badstube Kabinett,90.0,31.0,Mosel,,,Riesling,Dr. H. Thanisch (Erben Thanisch)
